what,kind,bundleId,bundleVersion,description,time
started,bundle,com.android.ide.eclipse.base,22.3.0.v201310242005-887826,"com.android.ide.eclipse.base",1386344129305
started,bundle,com.android.ide.eclipse.ddms,22.3.0.v201310242005-887826,"com.android.ide.eclipse.ddms",1386344129305
started,bundle,com.android.ide.eclipse.traceview,22.3.0.v201310242005-887826,"com.android.ide.eclipse.traceview",1386344129305
started,bundle,com.aptana.core,3.3.0.1373665087,"com.aptana.core",1386344129429
started,bundle,com.aptana.filewatcher,3.0.1.1376005939,"com.aptana.filewatcher",1386344129455
started,bundle,com.aptana.portal.ui,3.0.0.1367525200,"com.aptana.portal.ui",1386344129554
started,bundle,com.aptana.preview,3.0.0.1374198221,"com.aptana.preview",1386344129831
started,bundle,com.aptana.scripting,3.1.0.1374765659,"com.aptana.scripting",1386344129910
started,bundle,com.aptana.scripting.ui,3.0.0.1363994809,"com.aptana.scripting.ui",1386344130011
started,bundle,com.aptana.theme,3.0.0.1364595254,"com.aptana.theme",1386344130113
started,bundle,com.aptana.usage,3.0.0.1376005939,"com.aptana.usage",1386344130134
started,bundle,org.eclipse.dltk.core,3.0.1.v20110823,"org.eclipse.dltk.core",1386344130302
started,bundle,org.eclipse.dltk.core.index.sql,3.0.0.v20110423,"org.eclipse.dltk.core.index.sql",1386344130302
started,bundle,org.eclipse.dltk.core.index.sql.h2,3.0.0.v20110423,"org.eclipse.dltk.core.index.sql.h2",1386344130303
started,bundle,org.eclipse.dltk.core.manipulation,3.0.0.v20110609-1525,"org.eclipse.dltk.core.manipulation",1386344130303
started,bundle,org.eclipse.dltk.launching,3.0.0.v20110423,"org.eclipse.dltk.launching",1386344130431
started,bundle,org.eclipse.dltk.ui,3.0.1.v20110823,"org.eclipse.dltk.ui",1386344130532
started,bundle,org.eclipse.php.core,3.0.1.v201201110400,"org.eclipse.php.core",1386344130568
started,bundle,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.ui",1386344130573
os,sysinfo,,,"win32",1386344130581
arch,sysinfo,,,"x86",1386344130581
ws,sysinfo,,,"win32",1386344130581
locale,sysinfo,,,"es_ES",1386344130581
processors,sysinfo,,,"2",1386344130581
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1386344130581
